deliberate, 深思熟慮的 蓄意的
shoelace, 鞋帶
lieutenant, 中尉
stripe, 條紋
button-down shirt, 鈕扣襯衫
briefcase, 公事包
closet, 壁櫥
sloth, 懶惰
yard, 碼(0.91m)
cellphone, 手機
academia, 學術界；學術環境
bottle, 瓶子
tissue, 組織;面紙
collaboration, 合作；共同研究；勾結
relegate, 貶謫；放逐；降職；把……歸類
hierarchy, 等級制度；僧侶統治（集團）
consultancy, 諮詢公司; 顧問服務公司
recruitment, 徵募新兵；補充
counsel, 商議;勸告;忠告
tout, 招來顧客;兜售
vocational, 職業的
transcend, 超越；優於
prowess, 英勇；無畏；非凡的能力；高超的本領
sought, seek的過去式
postdoc, a person engaged in postdoctoral research
recruiter, 招聘人員；徵兵人員
mull, 深思熟慮(vi); 弄糟；使醉(vt); 亂糟糟；混亂(n)
job seeker, 求職者
liaise, 取得聯絡(vi)
portfolio, 作品集; 文件;卷宗夾；公事包[C]；部長職；大臣職[C][U]
context, 【語】上下文；文章脈絡；（事件的）來龍去脈;背景
vying, 競爭的；競賽的；vie的動詞現在分詞、動名詞
candidate , 候選人；候補者[（+for）];應試者;攻讀學位者[（+for）]
mentor, 良師益友
Massachusetts, 美國麻薩諸塞州
wade, 涉水而行[（+across）];艱難地前進；費力地做完[（+through）
implement, 履行；實施；執行(vt); 工具；器具；用具(n)
abstract, 抽象的；難懂的(adj);摘要;抽象派藝術作品(n)
assay, 【化】【藥】化驗;測定(vt);化驗報告;化驗[C]
query, 質問；詢問；疑問(n);問；詢問;詢問；表示懷疑(vi)
concede, 讓步；承認失敗; 承認(vt)
shortlist, 供最後挑選用的候選人名單(n);把……列入供最後挑選用的候選人名單(vt)
applicant, 申請人
accessible, 可（或易）接近的;容易到達的
inevitable, 不可避免的；必然（發生）的
existential crisis, 存在危機;也稱為生存恐懼
graduate, 准予……畢業; 畢業[（+from）](vi); 大學畢業生(n)
impart, 分給；給予；傳授；告知；透露(vt)
despise, 鄙視；看不起(vi)
undue, 過度的；過分的；不適當的；不正當的(adj)
up-to-date, 流行的; 最新的
unmatched, 不相配的；無比的; 無與倫比的 (adj)
emerge, 浮現；出現[（+from/out of）]；（問題等）發生;顯露；（事實等）暴露(vi)
tangibility, 有實質;有形; 明確性 (n)
pamper, 縱容;姑息；嬌養 (vt)
twofold, 兩倍的；有兩部分的;雙重的(adj); 兩倍地(adv)
alphabet, 字母系統(n)
reluctant, 不情願的；勉強的[+to-v](adj)
laboratory, 實驗室
flaw, 缺點；瑕疵
hand-on experience, knowledge or skill that someone gets from doing something rather than just reading about it or seeing it being done
tea, 茶
